date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-12 11:02:11,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:11,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:11,,120.232.239.13,20007,10.21.250.9,5220,ALLOW,Normal
2024-06-12 11:02:11,,120.232.239.13,20007,10.21.250.9,5220,ALLOW,Normal
2024-06-12 11:02:11,,120.232.239.13,20007,10.21.250.9,5220,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:12,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5227,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5228,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5227,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5227,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5227,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5227,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5228,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5228,ALLOW,Normal
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5228,BLOCK,Generic
2024-06-12 11:02:13,,124.236.26.172,80,10.21.250.9,5228,ALLOW,Normal
2024-06-12 11:02:13,,119.3.227.186,11114,10.21.250.9,14043,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:13,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5224,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.13,20007,10.21.250.9,5226,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:14,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:15,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:15,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:15,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:15,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
2024-06-12 11:02:15,,120.232.239.11,20007,10.21.250.9,5230,ALLOW,Normal
